productId,productName,productCategory,price,qtyBought,productDescription,userId,userName,reviewId,review,boughtStatus,viewStatus,returnStatus,avgRating
5,Evening Dress,Clothing,103.54,0,Stylish Evening Dress for all occasions.,25,User_25,REV_51,,False,False,False,3.45
20,Coffee Table,Home,169.36,0,Modern Coffee Table for home convenience.,21,User_21,REV_52,"Really disappointed, poor quality.",False,True,False,3.14
2,Evening Dress,Clothing,32.21,0,Stylish Evening Dress for all occasions.,29,User_29,REV_53,Excellent value for money!,False,True,False,4.55
11,Tablet,Electronics,109.56,3,Compact Tablet for tech enthusiasts.,11,User_11,REV_54,,True,True,True,3.28
4,Fiction Novel,Books,11.2,1,Engaging Fiction Novel for knowledge seekers.,5,User_5,REV_55,Good quality but pricey.,True,True,False,3.95
46,Earth Science Guide,Books,6.4,0,Engaging Earth Science Guide for knowledge seekers.,14,User_14,REV_56,"Decent product, could be better.",False,True,False,3.76
30,Philosophy Essays,Books,194.36,0,Engaging Philosophy Essays for knowledge seekers.,19,User_19,REV_57,,False,True,False,2.9
49,Floral Skirt,Clothing,146.05,1,Elegant Floral Skirt for a chic look.,12,User_12,REV_58,,True,True,False,3.08
33,Sweater,Clothing,5.63,0,Trendy Sweater for everyday wear.,9,User_9,REV_59,Good quality but pricey.,False,True,False,3.51
39,Science Textbook,Books,21.7,4,Informative Science Textbook for learning.,21,User_21,REV_60,"Broke after a week, not great.",True,True,False,4.38
8,Jacket,Clothing,71.35,0,Comfortable Jacket with premium fabric.,15,User_15,REV_61,"Broke after a week, not great.",False,False,False,4.0
40,Earbuds,Electronics,154.34,0,Sleek Earbuds for modern connectivity.,3,User_3,REV_62,"Amazing features, worth every penny!",False,True,False,4.91
9,High Heels,Clothing,24.93,0,Elegant High Heels for a chic look.,5,User_5,REV_63,"Really disappointed, poor quality.",False,True,False,2.49
10,Smartwatch,Electronics,170.26,0,Durable Smartwatch with long-lasting battery.,26,User_26,REV_64,,False,True,False,2.11
42,Serum,Beauty,193.05,0,Gentle Serum for daily care.,18,User_18,REV_65,,False,True,False,3.09
5,Evening Dress,Clothing,103.54,3,Stylish Evening Dress for all occasions.,9,User_9,REV_66,,True,True,True,3.45
7,Sweater,Clothing,119.91,4,Stylish Sweater for all occasions.,1,User_1,REV_67,,True,True,True,2.53
19,Sweater,Clothing,78.99,0,Comfortable Sweater with premium fabric.,20,User_20,REV_68,Excellent value for money!,False,False,False,2.6
5,Evening Dress,Clothing,103.54,0,Stylish Evening Dress for all occasions.,22,User_22,REV_69,"Pretty good, fast delivery!",False,True,False,3.45
20,Coffee Table,Home,169.36,0,Modern Coffee Table for home convenience.,12,User_12,REV_70,"Really disappointed, poor quality.",False,True,False,3.14
33,Sweater,Clothing,5.63,0,Trendy Sweater for everyday wear.,13,User_13,REV_71,"Really disappointed, poor quality.",False,True,False,3.51
49,Floral Skirt,Clothing,146.05,0,Elegant Floral Skirt for a chic look.,23,User_23,REV_72,,False,True,False,3.08
29,Science Textbook,Books,80.03,4,Informative Science Textbook for learning.,1,User_1,REV_73,"Pretty good, fast delivery!",True,True,False,3.11
23,Sweater,Clothing,82.15,5,Elegant Sweater for a chic look.,22,User_22,REV_74,,True,True,False,3.01
5,Evening Dress,Clothing,103.54,1,Stylish Evening Dress for all occasions.,16,User_16,REV_75,,True,True,False,3.45
42,Serum,Beauty,193.05,4,Gentle Serum for daily care.,10,User_10,REV_76,,True,True,True,3.09
17,Facewash,Beauty,135.68,3,Effective Facewash for radiant skin.,3,User_3,REV_77,"Decent product, could be better.",True,True,False,3.3
20,Coffee Table,Home,169.36,0,Modern Coffee Table for home convenience.,19,User_19,REV_78,"Amazing features, worth every penny!",False,False,False,3.14
40,Earbuds,Electronics,154.34,1,Sleek Earbuds for modern connectivity.,23,User_23,REV_79,,True,True,False,4.91
45,Denim Trousers,Clothing,70.93,1,Comfortable Denim Trousers with premium fabric.,15,User_15,REV_80,Excellent value for money!,True,True,True,4.1
44,Yoga Mat,Sports,93.04,1,Durable Yoga Mat for intense training.,7,User_7,REV_81,,True,True,True,4.01
44,Yoga Mat,Sports,93.04,1,Durable Yoga Mat for intense training.,25,User_25,REV_82,"Fantastic purchase, love it!",True,True,False,4.01
13,Earth Science Guide,Books,142.39,2,Engaging Earth Science Guide for knowledge seekers.,13,User_13,REV_83,Good quality but pricey.,True,True,True,3.68
36,High Heels,Clothing,153.69,5,Stylish High Heels for all occasions.,29,User_29,REV_84,"Decent product, could be better.",True,True,False,3.51
41,Kitchen Mixer,Home,189.64,4,Elegant Kitchen Mixer for cozy spaces.,22,User_22,REV_85,,True,True,True,1.45
8,Jacket,Clothing,71.35,2,Comfortable Jacket with premium fabric.,12,User_12,REV_86,"Pretty good, fast delivery!",True,True,False,4.0
23,Sweater,Clothing,82.15,1,Elegant Sweater for a chic look.,13,User_13,REV_87,,True,True,False,3.01
39,Science Textbook,Books,21.7,3,Informative Science Textbook for learning.,28,User_28,REV_88,,True,True,False,4.38
4,Fiction Novel,Books,11.2,0,Engaging Fiction Novel for knowledge seekers.,28,User_28,REV_89,"Fantastic purchase, love it!",False,True,False,3.95
24,Running Shoes,Clothing,32.23,4,Trendy Running Shoes for everyday wear.,18,User_18,REV_90,,True,True,False,3.28
8,Jacket,Clothing,71.35,0,Comfortable Jacket with premium fabric.,1,User_1,REV_91,"Pretty good, fast delivery!",False,False,False,4.0
26,Facewash,Beauty,199.48,0,Gentle Facewash for daily care.,28,User_28,REV_92,Good quality but pricey.,False,True,False,4.15
43,Coffee Table,Home,82.8,0,Functional Coffee Table with sleek design.,19,User_19,REV_93,"Pretty good, fast delivery!",False,True,False,4.0
6,Earth Science Guide,Books,144.62,0,Informative Earth Science Guide for learning.,22,User_22,REV_94,,False,False,False,4.31
29,Science Textbook,Books,80.03,3,Informative Science Textbook for learning.,21,User_21,REV_95,,True,True,False,3.11
19,Sweater,Clothing,78.99,0,Comfortable Sweater with premium fabric.,19,User_19,REV_96,"Really disappointed, poor quality.",False,False,False,2.6
3,Bedside Clock,Home,178.98,5,Modern Bedside Clock for home convenience.,12,User_12,REV_97,,True,True,True,4.17
32,Coffee Table,Home,26.75,0,Durable Coffee Table for daily use.,6,User_6,REV_98,,False,True,False,3.69
17,Facewash,Beauty,135.68,0,Effective Facewash for radiant skin.,24,User_24,REV_99,,False,True,False,3.3
7,Sweater,Clothing,119.91,0,Stylish Sweater for all occasions.,10,User_10,REV_100,"Pretty good, fast delivery!",False,True,False,2.53
